ID,ESN,MTH,DAY,HR_GMT,MIN,YEARDAY,LON,LAT,DEPTH
246400711,4536410,6,12,13,35,163.5659722,-70.60662,41.04663,-1
246400711,4536410,6,12,12,29,163.5201389,-70.59861,41.03921,-1
246400711,4536410,6,12,13,35,163.5659722,-70.60662,41.04663,-1
246400711,4536410,6,12,14,30,163.6041667,-70.61035,41.05333,-1
246400711,4536410,6,12,15,29,163.6451389,-70.61207,41.06099,-1
246400711,4536410,6,12,14,30,163.6041667,-70.61035,41.05333,-1
246400711,4536410,6,12,15,29,163.6451389,-70.61207,41.06099,-1
246400711,4536410,6,12,16,29,163.6868056,-70.60795,41.0668,-1
246400711,4536410,6,12,17,37,163.7340278,-70.59928,41.06939,-1
246400711,4536410,6,12,16,29,163.6868056,-70.60795,41.0668,-1
246400711,4536410,6,12,17,37,163.7340278,-70.59928,41.06939,-1
246400711,4536410,6,12,18,32,163.7722222,-70.59063,41.06784,-1
246400711,4536410,6,12,19,33,163.8145833,-70.58155,41.06315,-1
246400711,4536410,6,12,18,32,163.7722222,-70.59063,41.06784,-1
246400711,4536410,6,12,19,33,163.8145833,-70.58155,41.06315,-1
246400711,4536410,6,12,20,24,163.85,-70.57561,41.05839,-1
